epoch,acc,dice_coef,loss,lr,val_acc,val_dice_coef,val_loss
0,0.839356970630194,0.6274732586584593,-0.5311503967172221,0.01,0.8703755736351013,0.6468697190284729,-0.5448383092880249
1,0.8966789324032632,0.7240613855813679,-0.6347595923825314,0.01,0.81995889544487,0.660171240568161,-0.5840161740779877
2,0.901665786379262,0.7394622689799258,-0.6717637667530462,0.01,0.8990002274513245,0.7213672399520874,-0.6585434675216675
3,0.9075506031513214,0.7533932390965914,-0.6968624027151811,0.01,0.9170316457748413,0.7917040884494781,-0.740545004606247
4,0.9108813467778658,0.7618100298078436,-0.7128506804767408,0.01,0.8713016510009766,0.5758076310157776,-0.5305773615837097
5,0.9131440379117665,0.7683015575534419,-0.7244342643963663,0.01,0.854211837053299,0.49689270555973053,-0.45278844237327576
6,0.9125073442333623,0.7648077779694608,-0.7187215215281436,0.01,0.8737223446369171,0.5903556644916534,-0.5452885329723358
7,0.917362873491488,0.7782504966384486,-0.7374409358752402,0.01,0.8957902193069458,0.6895875930786133,-0.6503883600234985
8,0.9123161654723319,0.7673448449686954,-0.7263555777700323,0.01,0.8728808462619781,0.7388266921043396,-0.6975379288196564
9,0.9140514307900479,0.7711612644948458,-0.7309997066071159,0.01,0.9014323055744171,0.7089920341968536,-0.6677597761154175
10,0.9151673442439029,0.7753506789081975,-0.7331253666626779,0.01,0.8901301920413971,0.7355287671089172,-0.6892867386341095
11,0.9198051596942701,0.7828940686426664,-0.7385759949684143,0.005,0.9011197984218597,0.7634057700634003,-0.722798079252243
12,0.9229430226903212,0.794871521623511,-0.7569493525906613,0.005,0.9164461195468903,0.7768977582454681,-0.7418677806854248
13,0.9265303078450655,0.8025193559496027,-0.7691585939181479,0.005,0.8452933728694916,0.45242850482463837,-0.42069998383522034
14,0.9241772403842524,0.7974686748103091,-0.7661021304757971,0.005,0.8733556866645813,0.6037615537643433,-0.5721194893121719
15,0.9294379180983493,0.8093782851570531,-0.7786166824792561,0.005,0.876983642578125,0.594965934753418,-0.5657148063182831
16,0.9301421375651109,0.8128712051793149,-0.784327141548458,0.005,0.904510885477066,0.7142975032329559,-0.6862712204456329
17,0.9280053941827071,0.8066310945310091,-0.7782271629885623,0.005,0.8408622145652771,0.4068138599395752,-0.37845827639102936
18,0.9309626205971366,0.815679846625579,-0.7876843841452348,0.005,0.8682706654071808,0.5572586059570312,-0.5301067233085632
19,0.9333262459227913,0.8202209739308608,-0.7935673657216524,0.005,0.8440950512886047,0.41990916430950165,-0.3933044373989105
20,0.9339401706268913,0.8228783121234492,-0.7967895128225025,0.0025,0.9072656035423279,0.7331981062889099,-0.7077718675136566
21,0.9371731453820279,0.8316927505166907,-0.8070480619606218,0.0025,0.8922961354255676,0.6813529133796692,-0.657329648733139
22,0.9381167716101596,0.8334117249438637,-0.8100046311554155,0.0025,0.8830851018428802,0.624622642993927,-0.6018514037132263
23,0.9387274086475372,0.8357367531249398,-0.8134238563085857,0.0025,0.9160274267196655,0.766545295715332,-0.7445868849754333
24,0.9361325769047988,0.8284535235480258,-0.8064608809195066,0.0025,0.8803715109825134,0.6167023777961731,-0.594846785068512
25,0.9382582902908325,0.8335695094183871,-0.8118309284511366,0.0025,0.9244535267353058,0.794766753911972,-0.7732623219490051
26,0.9383968742270219,0.8352072850654,-0.8138878157264308,0.0025,0.9330883920192719,0.8333622813224792,-0.8119120001792908
27,0.9387094566696569,0.8354052524817618,-0.8141966650360509,0.0025,0.9332975447177887,0.8264726400375366,-0.8053090870380402
28,0.9355199352691048,0.8273786118156031,-0.8058823692171198,0.0025,0.922607809305191,0.7899169027805328,-0.7679855227470398
29,0.9380585849285126,0.8329213700796428,-0.8109301705109445,0.0025,0.9226525723934174,0.7975725829601288,-0.7758549153804779
30,0.9388611865671057,0.8356134311148995,-0.814061734237169,0.0025,0.9288500845432281,0.8135195374488831,-0.7920947074890137
31,0.9413926334757554,0.8410042069460216,-0.8199217429286555,0.0025,0.9358569383621216,0.839690238237381,-0.8188719749450684
32,0.9409810147787395,0.841961355585801,-0.8213935055230793,0.0025,0.9379337430000305,0.8426882922649384,-0.8222406208515167
33,0.9414035489684657,0.8418811340081064,-0.8217286545979349,0.0025,0.9262076914310455,0.7980810105800629,-0.7780801355838776
34,0.9426483496239311,0.8455755883141568,-0.8255774018011595,0.0025,0.895696610212326,0.6822689175605774,-0.662065327167511
35,0.94298087295733,0.8476971105525368,-0.8274480904403486,0.0025,0.9260026216506958,0.8079003989696503,-0.7880133390426636
36,0.94254963805801,0.8460109594621157,-0.8263833334571437,0.0025,0.9351391494274139,0.832562118768692,-0.8130634129047394
37,0.941194507636522,0.8413557645521665,-0.8216941952705383,0.0025,0.9276590943336487,0.8304294049739838,-0.8106749951839447
38,0.9374108675279116,0.8314922122578872,-0.8108005507996208,0.0025,0.9353251159191132,0.8400432765483856,-0.818715900182724
