epoch,acc,dice_coef,loss,lr,val_acc,val_dice_coef,val_loss
39,0.942190093429465,0.8443241778172945,-0.8233015051013545,0.0025,0.9244702160358429,0.7908580303192139,-0.7702529430389404
40,0.9453139791363164,0.8539930284023285,-0.8337565927129043,0.00125,0.925860583782196,0.8025371432304382,-0.7827346622943878
41,0.9466480346102464,0.856881497721923,-0.8373561266221499,0.00125,0.9359037280082703,0.8369471728801727,-0.8177213966846466
42,0.9469097601739984,0.8577912230240671,-0.8387765680488787,0.00125,0.9261263012886047,0.7990888059139252,-0.7803471982479095
43,0.9444315809952585,0.8492846488952637,-0.8305777327010506,0.00125,0.93413046002388,0.8316577076911926,-0.812996506690979
44,0.947996293243609,0.8605443662718723,-0.8420944841284501,0.00125,0.9367692172527313,0.8395189046859741,-0.821260005235672
45,0.9463097719769729,0.8560378300516229,-0.8378984614422447,0.00125,0.9331506192684174,0.829835832118988,-0.8117804527282715
46,0.9488352348929957,0.8626368704595064,-0.84468601095049,0.000625,0.9370886087417603,0.8368618488311768,-0.8190599083900452
47,0.9499199264927914,0.8656746196119409,-0.848030436980097,0.000625,0.9364428818225861,0.8335379660129547,-0.8160463273525238
48,0.949024382390474,0.8623013057206806,-0.8449300182493109,0.000625,0.9376106858253479,0.8368031680583954,-0.8195324540138245
49,0.9506876845108835,0.8684434702521876,-0.8512806672798959,0.000625,0.9369946122169495,0.8352539837360382,-0.8181861042976379
50,0.9501424353373679,0.8657659072625009,-0.8487534475953955,0.000625,0.9390625059604645,0.8455801606178284,-0.8286010026931763
51,0.9506597377752003,0.8675296385037271,-0.8506223073131159,0.000625,0.9391280114650726,0.8407167494297028,-0.8239020705223083
52,0.9499566335427133,0.8649109366692995,-0.8481628377186624,0.000625,0.9424047768115997,0.8563791215419769,-0.8396841287612915
53,0.950396318184702,0.867069705536491,-0.8504378121150168,0.000625,0.9401025474071503,0.8496516942977905,-0.8330945372581482
54,0.950749430217241,0.8674643243613996,-0.8509673884040431,0.000625,0.941864401102066,0.8521130979061127,-0.8356634080410004
55,0.9506074550904726,0.8657878982393366,-0.8493543251564628,0.000625,0.9403104484081268,0.8482055068016052,-0.8317995369434357
56,0.9518751502037048,0.8705743723794034,-0.8542243555972451,0.000625,0.9434285461902618,0.8607552945613861,-0.8444522321224213
